t,dt,gamma,omega,Wg,Wphi,Wapar,energy,heat_flux,particle_flux,heat_flux_s0,particle_flux_s0
1.489953613281250000e+02,5.236262083053588867e-02,2.282381160236576084e-02,9.084834439446536070e-02,1.278911092822032174e+02,1.553292203258097137e+00,0.000000000000000000e+00,1.294444014854613272e+02,5.886082660403782363e+00,0.000000000000000000e+00,5.886082660403782363e+00,0.000000000000000000e+00
1.515728454589843750e+02,5.025304481387138367e-02,-1.913269195500399283e-02,6.458437165271584124e-02,1.274908087400722536e+02,1.576502599854251008e+00,0.000000000000000000e+00,1.290673113399265048e+02,5.603239270571551245e+00,0.000000000000000000e+00,5.603239270571551245e+00,0.000000000000000000e+00
1.541658935546875000e+02,5.243625864386558533e-02,-1.113406712175182486e-02,1.143537462089915385e-01,1.249043643633222729e+02,1.550446191869332857e+00,0.000000000000000000e+00,1.264548105551915995e+02,5.335817043349333488e+00,0.000000000000000000e+00,5.335817043349333488e+00,0.000000000000000000e+00
1.567447662353515625e+02,5.199609324336051941e-02,-1.357135701149038143e-01,4.665878229740433314e-02,1.226233719217366342e+02,1.530287173251846600e+00,0.000000000000000000e+00,1.241536590949884840e+02,5.479330932007203003e+00,0.000000000000000000e+00,5.479330932007203003e+00,0.000000000000000000e+00
1.593417968750000000e+02,5.154028534889221191e-02,-3.128593532300767976e-01,9.837667187966170346e-02,1.225436264506866735e+02,1.563964837057790547e+00,0.000000000000000000e+00,1.241075912877444694e+02,5.525669861265837035e+00,0.000000000000000000e+00,5.525669861265837035e+00,0.000000000000000000e+00
1.619044494628906250e+02,5.146773904561996460e-02,-1.602723690914198418e-01,1.503735339935060589e-01,1.216599438594084006e+02,1.573227162481643626e+00,0.000000000000000000e+00,1.232331710218900440e+02,5.352421513546551601e+00,0.000000000000000000e+00,5.352421513546551601e+00,0.000000000000000000e+00
1.645212249755859375e+02,5.230233073234558105e-02,3.938736714104069669e-01,2.697651320005933218e-01,1.192071780461568977e+02,1.532677912344566407e+00,0.000000000000000000e+00,1.207398559585014652e+02,5.215113451599091121e+00,0.000000000000000000e+00,5.215113451599091121e+00,0.000000000000000000e+00
1.671427917480468750e+02,5.269050225615501404e-02,2.414349592443712500e-02,8.998548350882754066e-02,1.180068294684265879e+02,1.497407174623009762e+00,0.000000000000000000e+00,1.195042366430495946e+02,5.306772247049408087e+00,0.000000000000000000e+00,5.306772247049408087e+00,0.000000000000000000e+00
1.697619781494140625e+02,5.217778682708740234e-02,3.736030955670703591e-02,7.434153626571876616e-03,1.174287910389415401e+02,1.464688429546609383e+00,0.000000000000000000e+00,1.188934794684881524e+02,5.295643328906788128e+00,0.000000000000000000e+00,5.295643328906788128e+00,0.000000000000000000e+00
1.723976898193359375e+02,5.288780480623245239e-02,-2.041602886644596285e-02,6.824601586818075487e-03,1.170828833571210907e+02,1.454851324643030575e+00,0.000000000000000000e+00,1.185377346817641211e+02,5.361206715348570739e+00,0.000000000000000000e+00,5.361206715348570739e+00,0.000000000000000000e+00
